PERIOD,QUARTER,MUTUAL FUND NAME,Funds of funds- Overseas,Funds of funds- Domestic
April 2011 - March 2012,Q3 2011,Axis Mutual Fund,859813.71,3315.31
,Q4 2011,Axis Mutual Fund,881494.22,5961.9
April 2012 - March 2013,Q1 2012,Axis Mutual Fund,875874.29,7522.76
,Q2 2012,Axis Mutual Fund,1049030.62,10012.85
,Q3 2012,Axis Mutual Fund,1055039.41,13441.79
,Q4 2012,Axis Mutual Fund,1211433.78,14135.92
April 2013 - March 2014,Q1 2013,Axis Mutual Fund,1228924.43,13691.85
,Q2 2013,Axis Mutual Fund,1217078.76,14675.93
,Q3 2013,Axis Mutual Fund,1458657.79,14263.72
,Q4 2013,Axis Mutual Fund,1615391.28,13060.23
April 2014 - March 2015,Q1 2014,Axis Mutual Fund,2026766.96,11758.25
,Q2 2014,Axis Mutual Fund,2250809.98,10715.85
,Q3 2014,Axis Mutual Fund,2411455.2,9834.4
,Q4 2014,Axis Mutual Fund,2662399.27,9341.37
April 2015 - March 2016,Q1 2015,Axis Mutual Fund,2836457.49,8863.95
,Q2 2015,Axis Mutual Fund,3178933.99,7984.73
,Q3 2015,Axis Mutual Fund,3448944.53,7404.35
,Q4 2015,Axis Mutual Fund,3768787.25,7667.12
April 2016-March 2017,Q1 2016,Axis Mutual Fund	,4086792.67,7835.43
,Q2 2016,Axis Mutual Fund	,4717923.26,7621.61
,Q3 2016,Axis Mutual Fund	,4928054.82,6897.65
,Q4 2017,Axis Mutual Fund	,5769984.77,6480.53
April 2017-March 2018,Q1 2017,Axis Mutual Fund	,6359917.34,5990.85
,Q2 2017,Axis Mutual Fund	,6908794.5,5660.06
,Q3 2017,Axis Mutual Fund	,7337174,5328.92
,Q4 2018,Axis Mutual Fund	,7732540.54,5207.5
April 2018-March 2019,Q1 2018,Axis Mutual Fund	,7920123.19,5096.78
,Q2 2018,Axis Mutual Fund	,8763058.5,4789.67
,Q3 2018,Axis Mutual Fund	,8162224.91,4789.44
,Q4 2019,Axis Mutual Fund	,8972005.74,4766.22
April 2019-March 2020,Q1 2019,Axis Mutual Fund	,10222114.67,4625.37
,Q2 2019,Axis Mutual Fund	,10552617.2,5311.16
,Q3 2019,Axis Mutual Fund	,12286723.03,5631.53
,Q4 2020,Axis Mutual Fund	,13840162,10752.3
April 2020- March 2021,Q1 2020,Axis Mutual Fund	,13431574.16,16682.38
,Q2 2020,Axis Mutual Fund	,15625525.24,23831.13
,Q3 2020,Axis Mutual Fund	,17747364.65,27843.93
,Q4 2021,Axis Mutual Fund	,19654866.14,31338.74
April 2021-March 2022,Q1 2021,Axis Mutual Fund	,20814292.32,36166.61
,Q2 2021,Axis Mutual Fund	,23817696.88,39763.07
,Q3 2021,Axis Mutual Fund	,25345019.51,45565.29
,Q4 2022,Axis Mutual Fund	,25981842.5,51675.31
April 2022-March 2023,Q1 2022,Axis Mutual Fund	,24550973.22,61681.47
,Q2 2022,Axis Mutual Fund	,24834327.94,64822.16
,Q3 2022,Axis Mutual Fund	,24822000.78,70934.47
,Q4 2023,Axis Mutual Fund	,24141457.02,76873.89
April 2023-March 2024,Q1 2023,Axis Mutual Fund	,24816024.33,82000.83
